"","local_date","local_time","site","sl","GRSH_fd","GRSH_fl","GRSH_si","GRSH_co","HUWH_fd","HUWH_sw","HUWH_ot","HUWH_co"
"219","5/19/2016","11:24","C9","0",0,0,0,0,0,0,0,0
"220","5/19/2016","12:08","C8","0",0,0,0,0,0,0,0,0
"221","5/19/2016","11:45","C7","0",0,0,0,0,0,0,0,0
"222","5/19/2016","13:00","S1","0",0,0,0,0,0,0,0,0
"223","5/19/2016","13:24","S2","0",0,0,0,0,0,0,0,0
"224","5/19/2016","13:55","S3","0",0,0,0,0,0,0,0,0
"225","5/19/2016","14:16","S4","0",0,0,0,0,0,0,0,0
"226","5/19/2016","14:39","S5","0",0,0,0,0,0,0,0,0
"227","5/19/2016","15:00","S6","nd",0,0,0,0,0,0,0,0
"228","5/19/2016","15:23","S7","0",0,0,0,0,0,0,0,0
"229","5/19/2016","15:48","S8","0",0,0,0,0,0,0,0,0
"230","5/19/2016","16:15","S9","1",0,0,0,0,0,0,0,0
"231","5/19/2016","16:42","S10","1",0,0,0,0,0,0,0,0
"232","5/19/2016","17:09","S11","0",0,0,0,0,0,0,0,0
"233","5/20/2016","11:11","S12","0",0,0,0,0,0,0,0,0
"234","5/20/2016","nd","R2","0",0,0,0,0,0,0,0,0
"235","5/20/2016","12:42","R8","0",0,0,0,0,0,0,0,0
"236","5/20/2016","13:05","R9","0",0,0,0,0,0,0,0,0
"237","5/20/2016","nd","R10","0",0,0,0,0,0,0,0,0
"238","5/20/2016","nd","S27","0",0,0,0,0,0,0,0,0
"239","5/20/2016","nd","S28","0",0,0,0,0,0,0,0,0
"240","9/16/2016","10:48","N1","0",0,0,0,0,0,0,0,0
"241","9/16/2016","11:27","N16","3",0,1,0,0,0,0,0,0
"242","9/16/2016","12:02","N15","13",0,0,0,0,0,0,0,0
"243","9/16/2016","12:26","N3","nd",0,1,0,0,0,0,1,0
"244","9/16/2016","12:52","N14","0",0,0,0,0,0,1,0,0
"245","9/16/2016","13:10","N4","nd",0,0,0,0,0,0,0,0
"246","9/16/2016","13:39","N13","0",0,0,0,0,0,0,0,0
"247","9/16/2016","14:09","N5","nd",0,0,0,0,0,0,0,0
"248","9/16/2016","14:25","N12","0",0,0,0,0,0,0,0,0
"249","9/16/2016","14:48","N6","0",0,1,0,0,0,0,0,0
"250","9/16/2016","15:12","N11","0",0,0,0,0,0,0,0,0
"251","9/16/2016","15:34","N7","nd",0,0,0,0,0,0,0,0
"252","9/16/2016","15:54","N10","nd",0,0,0,0,0,0,0,0
"253","9/16/2016","16:17","N8","0",0,0,0,0,0,0,0,0
"254","9/16/2016","16:38","N9","nd",0,0,0,0,0,0,0,0
"255","9/16/2016","17:11","C14","0",0,0,0,0,0,0,0,0
"256","9/19/2016","10:04","S2","0",0,1,0,0,0,0,0,0
"257","9/19/2016","10:38","S3","nd",0,2,0,0,0,0,0,0
"258","9/19/2016","11:06","S4","0",0,1,0,0,0,0,0,0
"259","9/19/2016","11:32","S5","44",0,0,0,0,0,1,0,0
"260","9/19/2016","11:58","S6","0",0,2,0,0,0,5,0,0
"261","9/19/2016","12:21","S7","0",0,3,0,0,0,0,0,0
"262","9/19/2016","12:45","S8","0",0,2,0,0,0,0,0,0
"263","9/19/2016","13:07","S9","6",0,3,0,0,0,0,0,0
"264","9/19/2016","13:32","S10","13",0,1,1,0,0,7,0,0
"265","9/19/2016","14:20","S11","18",0,0,1,0,1,0,0,0
"266","9/19/2016","14:27","S12","3",0,1,0,0,0,0,2,0
"267","9/19/2016","15:13","S13","4",0,2,0,0,0,0,2,0
"268","9/19/2016","15:37","S14","20",0,0,0,1,0,0,0,3
"269","9/19/2016","16:06","C8","0",0,3,0,0,0,1,0,0
"270","9/19/2016","16:29","C9","0",0,2,0,0,0,0,0,0
"271","9/19/2016","16:48","C10","0",0,0,0,0,0,0,0,0
"272","9/19/2016","17:08","C11","0",0,0,0,0,0,0,0,0
"273","9/19/2016","17:28","C12","0",0,2,0,0,0,0,0,0
"274","9/19/2016","17:46","C3","0",0,1,0,0,0,0,0,0
"275","9/19/2016","18:12","C4","0",0,0,1,0,0,0,0,0
"276","9/19/2016","18:33","C5","0",0,1,0,0,0,0,0,0
"277","9/19/2016","18:53","C6","nd",0,0,0,0,0,0,0,0
"278","5/18/2017","9:25","N1","0",0,0,0,0,0,0,0,0
"279","5/18/2017","10:06","N16","0",0,0,0,0,0,0,0,0
"280","5/18/2017","11:06","N15","0",0,0,0,0,0,0,0,0
"281","5/18/2017","11:30","N14","1",0,0,0,0,0,0,0,0
"282","5/18/2017","11:55","N3","0",0,0,0,0,0,0,0,0
"283","5/18/2017","12:20","N4","0",0,0,0,0,0,0,0,0
"284","5/18/2017","12:42","N13","0",0,0,0,0,0,0,0,0
"285","5/18/2017","13:08","N12","0",0,0,0,0,0,0,0,0
"286","5/18/2017","13:35","N5","0",0,0,0,0,0,0,0,0
"287","5/18/2017","14:19","N6","0",0,0,0,0,0,0,0,0
"288","5/18/2017","14:46","N11","0",0,0,0,0,0,0,0,0
"289","5/18/2017","15:10","N10","0",0,0,0,0,0,0,0,0
"290","5/18/2017","15:31","N7","0",0,0,0,0,0,0,0,0
"291","5/18/2017","15:57","N8","0",0,0,0,0,0,0,0,0
"292","5/18/2017","16:25","N9","0",0,0,0,0,0,0,0,0
"293","5/19/2017","9:19","C14","nd",0,0,0,0,0,0,0,0
"294","5/19/2017","10:27","C1","0",0,0,0,0,0,0,0,0
"295","5/19/2017","11:14","C2","nd",0,0,0,0,0,0,0,0
"296","5/19/2017","11:30","C13","0",0,0,0,0,0,0,0,0
"297","5/19/2017","11:59","C12","0",0,0,0,0,0,0,0,0
"298","5/19/2017","12:26","C3","0",0,0,0,0,0,0,0,0
"299","5/19/2017","12:53","C4","0",0,0,0,0,0,0,0,0
"300","5/19/2017","13:19","C11","0",0,0,0,0,0,0,0,0
"301","5/19/2017","13:44","C10","0",0,0,0,0,0,0,0,0
"302","5/19/2017","14:11","C5","0",0,0,0,0,0,0,0,0
"303","5/19/2017","14:47","C6","1",0,0,0,0,0,0,0,0
"304","5/19/2017","15:11","C9","0",0,0,0,0,0,0,0,0
"305","5/19/2017","15:36","C8","0",0,0,0,0,0,0,0,0
"306","5/19/2017","16:00","C7","1",0,0,0,0,0,0,0,0
"307","5/23/2017","8:48","S1","0",0,0,0,0,0,0,0,0
"308","5/23/2017","10:21","S2","2",0,0,0,0,0,0,0,0
"309","5/23/2017","10:52","S3","0",0,0,0,0,0,0,0,0
"310","5/23/2017","11:19","S4","2",0,0,0,0,0,0,0,0
"311","5/23/2017","11:45","S5","3",0,0,0,0,0,0,0,0
"312","5/23/2017","12:13","S6","1",0,0,0,0,0,0,0,0
"313","5/23/2017","12:49","S7","0",0,0,0,0,0,0,0,0
"314","5/23/2017","13:52","S8","1",0,0,0,0,0,0,0,0
"315","5/23/2017","14:42","S9","4",0,0,0,0,0,0,0,0
"316","5/23/2017","14:54","S10","0",0,0,0,0,0,0,0,0
"317","5/23/2017","15:23","S11","0",0,0,0,0,0,0,0,0
"318","5/23/2017","15:52","S12","3",0,0,0,0,0,0,0,0
"319","5/23/2017","16:17","S13","0",0,0,0,0,0,0,0,0
"320","5/23/2017","16:39","S14","0",0,0,0,0,0,0,0,0
"321","9/12/2017","9:48","S1","0",0,0,0,0,0,0,0,0
"322","9/12/2017","10:18","S2","0",0,0,0,0,0,0,0,0
"323","9/12/2017","10:42","S3","0",0,0,0,0,0,0,0,0
"324","9/12/2017","11:03","S4","0",0,0,0,0,0,0,0,0
"325","9/12/2017","11:27","S5","0",0,0,0,0,0,0,0,0
